feature,baseline_pr_auc,permuted_pr_auc_mean,permutation_importance_mean,permutation_importance_std,permutation_rank
feature_59,0.2003149458846448,0.17045403487427688,0.02986091101036792,0.01604057273063237,1
feature_205,0.2003149458846448,0.18640345329018312,0.013911492594461672,0.006150243180640027,2
feature_102,0.2003149458846448,0.18740478797127574,0.012910157913369052,0.003285214485764263,3
feature_519,0.2003149458846448,0.18878779225736333,0.011527153627281461,0.007665934037518165,4
feature_341,0.2003149458846448,0.1916348893857704,0.008680056498874406,0.00919355585223093,5
feature_129,0.2003149458846448,0.19215211275649963,0.00816283312814517,0.0058330509778744336,6
feature_477,0.2003149458846448,0.19230386077043368,0.008011085114211114,0.006904736088833102,7
feature_81,0.2003149458846448,0.19244136558807529,0.00787358029656951,0.004985283520292993,8
feature_0,0.2003149458846448,0.193142485327014,0.007172460557630794,0.003716020557572929,9
feature_247,0.2003149458846448,0.1933328413042602,0.0069821045803845905,0.005158784897125672,10
feature_130,0.2003149458846448,0.19399675245533207,0.006318193429312724,0.00638785232754696,11
feature_125,0.2003149458846448,0.19527009518422123,0.00504485070042357,0.008414235882827107,12
feature_423,0.2003149458846448,0.19717613408299042,0.003138811801654373,0.0030128493636896493,13
feature_33,0.2003149458846448,0.19851520077067147,0.0017997451139733223,0.010383041525794365,14
feature_200,0.2003149458846448,0.1988652314068661,0.0014497144777786963,0.004618459900909533,15
feature_65,0.2003149458846448,0.20045642954929152,-0.00014148366464672435,0.004744936027732811,16
feature_64,0.2003149458846448,0.20079799614562327,-0.0004830502609784737,0.018214933263252433,17
feature_287,0.2003149458846448,0.20116432029460368,-0.0008493744099588862,0.00444948496611114,18
feature_452,0.2003149458846448,0.2015977557992074,-0.001282809914562616,0.010582580221979701,19
feature_577,0.2003149458846448,0.20452509977185834,-0.004210153887213547,0.011228748626231345,20
feature_336,0.2003149458846448,0.2050998901845486,-0.004784944299903809,0.013508867994198467,21
feature_213,0.2003149458846448,0.20688441879878713,-0.006569472914142338,0.009977673714478134,22
feature_351,0.2003149458846448,0.20774857510236502,-0.007433629217720228,0.013469349224668753,23
feature_510,0.2003149458846448,0.20868869199353965,-0.008373746108894853,0.014589489524300434,24
feature_103,0.2003149458846448,0.2099887502328392,-0.009673804348194398,0.017048938191135652,25
feature_281,0.2003149458846448,0.2114045849452634,-0.011089639060618606,0.014283912619760137,26
feature_316,0.2003149458846448,0.21339492659056533,-0.013079980705920535,0.012381704847292329,27
feature_31,0.2003149458846448,0.21441685290953028,-0.01410190702488548,0.004628074760686744,28
feature_21,0.2003149458846448,0.21524082609783673,-0.014925880213191939,0.009022651492590945,29
feature_14,0.2003149458846448,0.216965924834507,-0.0166509789498622,0.00606636936988704,30
