feature,n_unique
sensor_005,1
sensor_013,1
sensor_042,1
sensor_049,1
sensor_052,1
sensor_069,1
sensor_097,1
sensor_141,1
sensor_149,1
sensor_178,1
sensor_179,1
sensor_186,1
sensor_189,1
sensor_190,1
sensor_191,1
sensor_192,1
sensor_193,1
sensor_194,1
sensor_226,1
sensor_229,1
sensor_230,1
sensor_231,1
sensor_232,1
sensor_233,1
sensor_234,1
sensor_235,1
sensor_236,1
sensor_237,1
sensor_240,1
sensor_241,1
sensor_242,1
sensor_243,1
sensor_256,1
sensor_257,1
sensor_258,1
sensor_259,1
sensor_260,1
sensor_261,1
sensor_262,1
sensor_263,1
sensor_264,1
sensor_265,1
sensor_266,1
sensor_276,1
sensor_284,1
sensor_313,1
sensor_314,1
sensor_315,1
sensor_322,1
sensor_325,1
sensor_326,1
sensor_327,1
sensor_328,1
sensor_329,1
sensor_330,1
sensor_364,1
sensor_369,1
sensor_370,1
sensor_371,1
sensor_372,1
sensor_373,1
sensor_374,1
sensor_375,1
sensor_378,1
sensor_379,1
sensor_380,1
sensor_381,1
sensor_394,1
sensor_395,1
sensor_396,1
sensor_397,1
sensor_398,1
sensor_399,1
sensor_400,1
sensor_401,1
sensor_402,1
sensor_403,1
sensor_404,1
sensor_414,1
sensor_422,1
sensor_449,1
sensor_450,1
sensor_451,1
sensor_458,1
sensor_461,1
sensor_462,1
sensor_463,1
sensor_464,1
sensor_465,1
sensor_466,1
sensor_481,1
sensor_498,1
sensor_501,1
sensor_502,1
sensor_503,1
sensor_504,1
sensor_505,1
sensor_506,1
sensor_507,1
sensor_508,1
sensor_509,1
sensor_512,1
sensor_513,1
sensor_514,1
sensor_515,1
sensor_528,1
sensor_529,1
sensor_530,1
sensor_531,1
sensor_532,1
sensor_533,1
sensor_534,1
sensor_535,1
sensor_536,1
sensor_537,1
sensor_538,1
