feature,high_missing,constant
feature_109,True,False
feature_110,True,False
feature_111,True,False
feature_13,False,True
feature_141,False,True
feature_149,False,True
feature_157,True,False
feature_158,True,False
feature_178,False,True
feature_179,False,True
feature_186,False,True
feature_189,False,True
feature_190,False,True
feature_191,False,True
feature_192,False,True
feature_193,False,True
feature_194,False,True
feature_220,True,False
feature_226,False,True
feature_229,False,True
feature_230,False,True
feature_231,False,True
feature_232,False,True
feature_233,False,True
feature_234,False,True
feature_235,False,True
feature_236,False,True
feature_237,False,True
feature_240,False,True
feature_241,False,True
feature_242,False,True
feature_243,False,True
feature_244,True,False
feature_245,True,False
feature_246,True,False
feature_256,False,True
feature_257,False,True
feature_258,False,True
feature_259,False,True
feature_260,False,True
feature_261,False,True
feature_262,False,True
feature_263,False,True
feature_264,False,True
feature_265,False,True
feature_266,False,True
feature_276,False,True
feature_284,False,True
feature_292,True,False
feature_293,True,False
feature_313,False,True
feature_314,False,True
feature_315,False,True
feature_322,False,True
feature_325,False,True
feature_326,False,True
feature_327,False,True
feature_328,False,True
feature_329,False,True
feature_330,False,True
feature_345,True,False
feature_346,True,False
feature_358,True,False
feature_364,False,True
feature_369,False,True
feature_370,False,True
feature_371,False,True
feature_372,False,True
feature_373,False,True
feature_374,False,True
feature_375,False,True
feature_378,False,True
feature_379,False,True
feature_380,False,True
feature_381,False,True
feature_382,True,False
feature_383,True,False
feature_384,True,False
feature_394,False,True
feature_395,False,True
feature_396,False,True
feature_397,False,True
feature_398,False,True
feature_399,False,True
feature_400,False,True
feature_401,False,True
feature_402,False,True
feature_403,False,True
feature_404,False,True
feature_414,False,True
feature_42,False,True
feature_422,False,True
feature_449,False,True
feature_450,False,True
feature_451,False,True
feature_458,False,True
feature_461,False,True
feature_462,False,True
feature_463,False,True
feature_464,False,True
feature_465,False,True
feature_466,False,True
feature_481,False,True
feature_49,False,True
feature_492,True,False
feature_498,False,True
feature_5,False,True
feature_501,False,True
feature_502,False,True
feature_503,False,True
feature_504,False,True
feature_505,False,True
feature_506,False,True
feature_507,False,True
feature_508,False,True
feature_509,False,True
feature_512,False,True
feature_513,False,True
feature_514,False,True
feature_515,False,True
feature_516,True,False
feature_517,True,False
feature_518,True,False
feature_52,False,True
feature_528,False,True
feature_529,False,True
feature_530,False,True
feature_531,False,True
feature_532,False,True
feature_533,False,True
feature_534,False,True
feature_535,False,True
feature_536,False,True
feature_537,False,True
feature_538,False,True
feature_578,True,False
feature_579,True,False
feature_580,True,False
feature_581,True,False
feature_69,False,True
feature_72,True,False
feature_73,True,False
feature_85,True,False
feature_97,False,True
