feature_count,features,added_feature,cv_pr_auc_mean,cv_pr_auc_std,cv_pr_auc_sem,cv_roc_auc_mean,cv_balanced_accuracy_mean,temporal_test_pr_auc,fit_time_mean_seconds,fit_time_std_seconds,score_time_mean_seconds,inference_time_ms_per_sample,tokens_mean_per_sample,tokens_std_per_sample,tokens_total_dataset,json_encoding,token_scope,token_multiplier_vs_top1,pr_auc_gain_vs_top1,marginal_pr_auc_gain,marginal_tokens,marginal_pr_auc_per_100_tokens
1,feature_59,feature_59,0.10640821292358897,0.02350280779119547,0.006068398877627599,0.5985878514916806,0.5320645050452428,0.053535359822010166,2.3831703662872314,0.7612658686684987,0.21248057683308919,0.25196072186744767,9.895341416719846,0.3472534015200032,15506,cl100k_base,feature-value JSON only; prompt overhead excluded,1.0,0.0,,,
2,"feature_59,feature_129",feature_129,0.13003549702826261,0.024677303506345345,0.0063716523672920945,0.6666711861237086,0.5167730705666094,0.055662119276231714,1.8835550467173259,0.35098471930887687,0.16954394976298015,0.20385934182688903,18.49074664964901,0.6400909031167499,28975,cl100k_base,feature-value JSON only; prompt overhead excluded,1.8686314974848448,0.023627284104673643,0.023627284104673643,8.595405232929165,0.27488272471618974
3,"feature_59,feature_129,feature_125",feature_125,0.15023800792212272,0.031804483148553976,0.008211882237938931,0.69529664038851,0.5215698545536313,0.07440413133152152,1.556088654200236,0.1910004814293614,0.15177950859069825,0.2585916454355567,26.760051052967455,0.8380248001812821,41933,cl100k_base,feature-value JSON only; prompt overhead excluded,2.7043080098026575,0.04382979499853375,0.020202510893860104,8.269304403318444,0.24430725860996125
4,"feature_59,feature_129,feature_125,feature_205",feature_205,0.19126115875297348,0.06513093695335065,0.016816735609547485,0.7003898643940254,0.5254638788518353,0.06994078530014894,2.2274211565653483,0.1979114309901638,0.18269128799438478,0.2647193524424944,34.75239310784939,0.8746203430480798,54457,cl100k_base,feature-value JSON only; prompt overhead excluded,3.511995356636141,0.0848529458293845,0.04102315083085076,7.992342054881938,0.5132807198334649
5,"feature_59,feature_129,feature_125,feature_205,feature_519",feature_519,0.19076452603599503,0.05818776715820795,0.015024016877115616,0.7188251304074859,0.5180645258243556,0.07823298148388305,1.8493920008341471,0.18158877934460527,0.1514820098876953,0.18940041401344915,42.33312061263561,1.800402793056062,66336,cl100k_base,feature-value JSON only; prompt overhead excluded,4.278085902231394,0.08435631311240606,-0.0004966327169784457,7.580727504786218,-0.006551254040788148
6,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477",feature_477,0.21066024881432865,0.061293951062585644,0.01582603011257644,0.7260038871783225,0.5273670006909055,0.08608699137150058,1.8179406960805258,0.13600575411424257,0.14174741109212238,0.23558096602846296,51.223356732610085,1.8644734556056377,80267,cl100k_base,feature-value JSON only; prompt overhead excluded,5.176512317812461,0.10425203589073968,0.019895722778333624,8.890236119974475,0.22379296241223737
7,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247",feature_247,0.20649579473307567,0.06109768832761231,0.015775355292307582,0.723555291363978,0.5257460777569244,0.09215271867941915,1.9899143854777017,0.3573392590622776,0.17322980562845866,0.1717520488308438,58.7951499680919,3.1793196638195034,92132,cl100k_base,feature-value JSON only; prompt overhead excluded,5.941699987101767,0.1000875818094867,-0.0041644540812529884,7.571793235481813,-0.05499957476041663
8,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130",feature_130,0.21071592159660585,0.06231651148752679,0.01609005407899563,0.7410693154098643,0.5224917198945905,0.12926663900065505,1.5855528831481933,0.177809036685698,0.12348268826802572,0.22752274946774795,67.66751754945756,3.227414561695524,106035,cl100k_base,feature-value JSON only; prompt overhead excluded,6.83832065007094,0.10430770867301688,0.0042201268635301825,8.872367581365658,0.0475648334543034
9,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33",feature_33,0.2445735138125397,0.061014737138383734,0.015753937387345558,0.7677764976360049,0.5225330963030248,0.1553299223313207,1.9636024634043376,0.3619605987285035,0.1485929012298584,0.33368868365262944,76.55583918315251,3.2547111027511715,119963,cl100k_base,feature-value JSON only; prompt overhead excluded,7.7365535921578745,0.13816530088895074,0.033857592215933846,8.888321633694957,0.38092222144147286
10,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452",feature_452,0.24436852462306347,0.05514363972293486,0.014238026553079233,0.7571129537731528,0.5176918264617549,0.1614947065644791,1.7979060173034669,0.07728710137325519,0.13271249135335286,0.1859774309979908,85.4550095724314,3.2666293467702054,133908,cl100k_base,feature-value JSON only; prompt overhead excluded,8.635882884044886,0.13796031169947448,-0.00020498918947622902,8.89917038927888,-0.0023034640366385857
