feature_count,features,added_feature,cv_pr_auc_mean,cv_pr_auc_std,cv_pr_auc_sem,cv_roc_auc_mean,cv_balanced_accuracy_mean,temporal_test_pr_auc,fit_time_mean_seconds,fit_time_std_seconds,score_time_mean_seconds,inference_time_ms_per_sample,tokens_mean_per_sample,tokens_std_per_sample,tokens_total_dataset,json_encoding,token_scope,token_multiplier_vs_top1,pr_auc_gain_vs_top1,marginal_pr_auc_gain,marginal_tokens,marginal_pr_auc_per_100_tokens
1,feature_59,feature_59,0.1064082129235889,0.0235028077911954,0.0060683988776275,0.5985878514916806,0.5320645050452428,0.0535353598220101,2.3831703662872314,0.7612658686684987,0.2124805768330891,0.2519607218674476,9.895341416719846,0.3472534015200032,15506,cl100k_base,feature-value JSON only; prompt overhead excluded,1.0,0.0,,,
2,"feature_59,feature_129",feature_129,0.1300354970282626,0.0246773035063453,0.006371652367292,0.6666711861237086,0.5167730705666094,0.0556621192762317,1.8835550467173257,0.3509847193088768,0.1695439497629801,0.203859341826889,18.49074664964901,0.6400909031167499,28975,cl100k_base,feature-value JSON only; prompt overhead excluded,1.8686314974848448,0.023627284104673685,0.023627284104673685,8.595405232929165,0.27488272471619024
3,"feature_59,feature_129,feature_125",feature_125,0.1502380079221227,0.0318044831485539,0.0082118822379389,0.69529664038851,0.5215698545536313,0.0744041313315215,1.556088654200236,0.1910004814293614,0.1517795085906982,0.2585916454355567,26.76005105296745,0.8380248001812821,41933,cl100k_base,feature-value JSON only; prompt overhead excluded,2.704308009802657,0.04382979499853379,0.020202510893860104,8.26930440331844,0.2443072586099614
4,"feature_59,feature_129,feature_125,feature_205",feature_205,0.1912611587529734,0.0651309369533506,0.0168167356095474,0.7003898643940254,0.5254638788518353,0.0699407853001489,2.2274211565653483,0.1979114309901638,0.1826912879943847,0.2647193524424944,34.75239310784939,0.8746203430480798,54457,cl100k_base,feature-value JSON only; prompt overhead excluded,3.511995356636141,0.08485294582938449,0.0410231508308507,7.9923420548819415,0.5132807198334641
5,"feature_59,feature_129,feature_125,feature_205,feature_519",feature_519,0.190764526035995,0.0581877671582079,0.0150240168771156,0.7188251304074859,0.5180645258243556,0.078232981483883,1.8493920008341471,0.1815887793446052,0.1514820098876953,0.1894004140134491,42.33312061263561,1.800402793056062,66336,cl100k_base,feature-value JSON only; prompt overhead excluded,4.278085902231394,0.0843563131124061,-0.0004966327169783902,7.580727504786218,-0.006551254040787416
6,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477",feature_477,0.2106602488143286,0.0612939510625856,0.0158260301125764,0.7260038871783225,0.5273670006909055,0.0860869913715005,1.8179406960805256,0.1360057541142425,0.1417474110921223,0.2355809660284629,51.223356732610085,1.8644734556056377,80267,cl100k_base,feature-value JSON only; prompt overhead excluded,5.176512317812461,0.1042520358907397,0.019895722778333597,8.890236119974475,0.22379296241223706
7,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247",feature_247,0.2064957947330756,0.0610976883276123,0.0157753552923075,0.723555291363978,0.5257460777569244,0.0921527186794191,1.9899143854777015,0.3573392590622776,0.1732298056284586,0.1717520488308438,58.7951499680919,3.179319663819504,92132,cl100k_base,feature-value JSON only; prompt overhead excluded,5.941699987101767,0.10008758180948671,-0.0041644540812529884,7.571793235481813,-0.05499957476041663
8,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130",feature_130,0.2107159215966058,0.0623165114875267,0.0160900540789956,0.7410693154098643,0.5224917198945905,0.129266639000655,1.585552883148193,0.177809036685698,0.1234826882680257,0.2275227494677479,67.66751754945756,3.227414561695524,106035,cl100k_base,feature-value JSON only; prompt overhead excluded,6.83832065007094,0.10430770867301689,0.0042201268635301825,8.872367581365658,0.0475648334543034
9,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33",feature_33,0.2445735138125397,0.0610147371383837,0.0157539373873455,0.7677764976360049,0.5225330963030248,0.1553299223313207,1.9636024634043376,0.3619605987285035,0.1485929012298584,0.3336886836526294,76.55583918315251,3.2547111027511715,119963,cl100k_base,feature-value JSON only; prompt overhead excluded,7.7365535921578745,0.1381653008889508,0.0338575922159339,8.888321633694957,0.38092222144147353
10,"feature_59,feature_129,feature_125,feature_205,feature_519,feature_477,feature_247,feature_130,feature_33,feature_452",feature_452,0.2443685246230634,0.0551436397229348,0.0142380265530792,0.7571129537731528,0.5176918264617549,0.1614947065644791,1.7979060173034669,0.0772871013732551,0.1327124913533528,0.1859774309979908,85.4550095724314,3.266629346770205,133908,cl100k_base,feature-value JSON only; prompt overhead excluded,8.635882884044886,0.1379603116994745,-0.00020498918947628453,8.89917038927888,-0.0023034640366392093
