threshold,fail_recall,precision,f1,pr_auc,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,selected
0.01,1.0,0.043824701195219126,0.08396946564885496,0.05930743494510588,0.5,0,240,0,11,False
0.02,1.0,0.044,0.0842911877394636,0.05930743494510588,0.5020833333333333,1,239,0,11,False
0.03,1.0,0.04721030042918455,0.09016393442622951,0.05930743494510588,0.5375,18,222,0,11,False
0.04,1.0,0.05365853658536585,0.10185185185185185,0.05930743494510588,0.5958333333333333,46,194,0,11,True
0.05,0.8181818181818182,0.05202312138728324,0.09782608695652174,0.05930743494510588,0.5674242424242424,76,164,2,9,False
0.06,0.7272727272727273,0.06451612903225806,0.11851851851851852,0.05930743494510588,0.6219696969696971,124,116,3,8,False
0.07,0.2727272727272727,0.03529411764705882,0.0625,0.05930743494510588,0.465530303030303,158,82,8,3,False
0.08,0.09090909090909091,0.018518518518518517,0.03076923076923077,0.05930743494510588,0.4350378787878788,187,53,10,1,False
0.09,0.09090909090909091,0.034482758620689655,0.05,0.05930743494510588,0.4871212121212121,212,28,10,1,False
0.1,0.09090909090909091,0.06666666666666667,0.07692307692307693,0.05930743494510588,0.5162878787878787,226,14,10,1,False
0.11,0.09090909090909091,0.125,0.10526315789473684,0.05930743494510588,0.5308712121212121,233,7,10,1,False
0.12,0.0,0.0,0.0,0.05930743494510588,0.49375,237,3,11,0,False
0.13,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.14,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.15,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.16,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.17,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.18,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.19,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.2,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.21,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.22,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.23,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.24,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.25,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.26,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.27,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.28,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.29,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.3,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.31,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.32,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.33,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.34,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.35,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.36,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.37,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.38,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.39,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.4,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.41,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.42,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.43,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.44,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.45,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.46,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.47,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.48,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.49,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.5,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.51,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.52,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.53,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.54,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.55,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.56,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.57,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.58,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.59,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.6,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.61,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.62,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.63,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.64,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.65,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.66,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.67,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.68,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.69,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.7,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.71,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.72,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.73,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.74,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.75,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.76,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.77,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.78,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.79,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.8,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.81,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.82,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.83,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.84,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.85,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.86,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.87,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.88,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.89,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.9,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.91,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.92,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.93,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.94,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.95,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.96,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.97,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.98,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
0.99,0.0,0.0,0.0,0.05930743494510588,0.5,240,0,11,0,False
