threshold,fail_recall,precision,f1,pr_auc,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,selected
0.01,1.0,0.06624102154828412,0.12425149700598802,0.1875026478791492,0.5,0,1170,0,83,False
0.02,1.0,0.06781045751633986,0.12700841622035194,0.1875026478791492,0.5123931623931623,29,1141,0,83,False
0.03,0.9759036144578314,0.07130281690140845,0.13289581624282198,0.1875026478791492,0.5370971063742148,115,1055,2,81,False
0.04,0.963855421686747,0.07881773399014778,0.14571948998178508,0.1875026478791492,0.5823550612707239,235,935,3,80,False
0.05,0.8674698795180723,0.0821917808219178,0.15015641293013557,0.1875026478791492,0.5901451961692925,366,804,11,72,False
0.06,0.8072289156626506,0.09463276836158192,0.16940581542351454,0.1875026478791492,0.6296828338997014,529,641,16,67,True
0.07,0.7108433734939759,0.10498220640569395,0.18294573643410852,0.1875026478791492,0.640464421789723,667,503,24,59,False
0.08,0.6144578313253012,0.11434977578475336,0.19281663516068054,0.1875026478791492,0.6384254968592318,775,395,32,51,False
0.09,0.5180722891566265,0.1235632183908046,0.19953596287703015,0.1875026478791492,0.6286942642364329,865,305,40,43,False
0.1,0.4939759036144578,0.15129151291512916,0.23163841807909605,0.1875026478791492,0.6486973535166306,940,230,42,41,False
0.11,0.4457831325301205,0.1712962962962963,0.24749163879598662,0.1875026478791492,0.6463958397693337,991,179,46,37,False
0.12,0.3855421686746988,0.1951219512195122,0.2591093117408907,0.1875026478791492,0.6363608279270929,1038,132,51,32,False
0.13,0.3373493975903614,0.23140495867768596,0.27450980392156865,0.1875026478791492,0.628931109051591,1077,93,55,28,False
0.14,0.30120481927710846,0.26595744680851063,0.2824858757062147,0.1875026478791492,0.6211152301513747,1101,69,58,25,False
0.15,0.25301204819277107,0.29577464788732394,0.2727272727272727,0.1875026478791492,0.6051385027288642,1120,50,62,21,False
0.16,0.21686746987951808,0.3,0.2517482517482518,0.1875026478791492,0.5904850169910411,1128,42,65,18,False
0.17,0.13253012048192772,0.2682926829268293,0.1774193548387097,0.1875026478791492,0.553444547420451,1140,30,72,11,False
0.18,0.08433734939759036,0.2413793103448276,0.125,0.1875026478791492,0.5327669652970858,1148,22,76,7,False
0.19,0.08433734939759036,0.3333333333333333,0.1346153846153846,0.1875026478791492,0.5361857687158892,1156,14,76,7,False
0.2,0.07228915662650602,0.3333333333333333,0.1188118811881188,0.1875026478791492,0.5310163731850479,1158,12,77,6,False
0.21,0.07228915662650602,0.4,0.12244897959183673,0.1875026478791492,0.5322984244670992,1161,9,77,6,False
0.22,0.04819277108433735,0.3333333333333333,0.08421052631578947,0.1875026478791492,0.5206775821233652,1162,8,79,4,False
0.23,0.03614457831325301,0.3333333333333333,0.06521739130434782,0.1875026478791492,0.515508186592524,1164,6,80,3,False
0.24,0.024096385542168676,0.2857142857142857,0.044444444444444446,0.1875026478791492,0.5099114406343322,1165,5,81,2,False
0.25,0.024096385542168676,0.4,0.045454545454545456,0.1875026478791492,0.5107661414890331,1167,3,81,2,False
0.26,0.012048192771084338,0.5,0.023529411764705882,0.1875026478791492,0.5055967459581917,1169,1,82,1,False
0.27,0.0,0.0,0.0,0.1875026478791492,0.4995726495726496,1169,1,83,0,False
0.28,0.0,0.0,0.0,0.1875026478791492,0.4995726495726496,1169,1,83,0,False
0.29,0.0,0.0,0.0,0.1875026478791492,0.4995726495726496,1169,1,83,0,False
0.3,0.0,0.0,0.0,0.1875026478791492,0.4995726495726496,1169,1,83,0,False
0.31,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.32,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.33,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.34,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.35,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.36,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.37,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.38,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.39,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.4,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.41,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.42,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.43,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.44,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.45,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.46,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.47,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.48,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.49,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.5,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.51,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.52,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.53,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.54,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.55,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.56,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.57,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.58,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.59,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.6,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.61,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.62,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.63,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.64,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.65,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.66,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.67,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.68,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.69,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.7,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.71,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.72,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.73,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.74,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.75,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.76,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.77,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.78,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.79,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.8,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.81,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.82,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.83,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.84,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.85,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.86,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.87,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.88,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.89,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.9,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.91,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.92,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.93,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.94,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.95,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.96,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.97,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.98,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
0.99,0.0,0.0,0.0,0.1875026478791492,0.5,1170,0,83,0,False
