feature,pass_n,fail_n,pass_mean,fail_mean,mean_diff,standardized_mean_diff,mannwhitney_u,p_value,abs_standardized_mean_diff
feature_59,1456,104,2.563464217032967,8.515123076923079,5.951658859890111,0.5901345261098715,104791.5,5.6786377604731255e-11,0.5901345261098715
feature_103,1461,104,-0.009912662559890486,-0.008052884615384615,0.001859777944505871,0.571259461211115,101524.0,9.550429878231896e-09,0.571259461211115
feature_129,1454,104,-0.5879594222833563,-0.08264134615384615,0.5053180761295102,0.47798147595456103,93602.0,4.831540255418541e-05,0.47798147595456103
feature_28,1462,103,69.59803235294117,68.10140582524272,-1.496626527698453,-0.4443901664849148,57659.0,6.955945523698205e-05,0.4443901664849148
feature_510,1461,104,54.44059137577002,74.34794903846154,19.907357662691517,0.42726736652378905,96642.5,3.45261223775805e-06,0.42726736652378905
feature_316,1462,104,6.00126073871409,5.635603846153846,-0.3656568925602439,-0.38404300673442066,59398.5,0.0001907070076583606,0.38404300673442066
feature_124,1454,104,15.791836313617605,15.834807692307692,0.04297137869008694,0.37715008171280784,91043.0,0.0004928452773214519,0.37715008171280784
feature_125,1454,104,1.191248280605227,1.0969807692307691,-0.09426751137445777,-0.3688751362331432,61570.5,0.001538907458109188,0.3688751362331432
feature_121,1454,104,15.794160935350757,15.828076923076923,0.03391598772616611,0.349915316735705,88674.0,0.0031797686364494434,0.349915316735705
feature_122,1454,104,3.917335625859698,3.6335096153846154,-0.2838260104750825,-0.3461413250967998,62371.5,0.0028239427539653124,0.3461413250967998
feature_21,1462,103,-5636.437585499316,-5362.27427184466,274.1633136546561,0.3459882104960804,90858.5,0.0004461412473224361,0.3459882104960804
feature_130,1454,104,0.7432802613480054,0.7686903846153847,0.025410123267379348,0.34537551454794285,87303.0,0.008327591922210454,0.34537551454794285
feature_180,1462,104,19.082701778385772,18.03701923076923,-1.0456825476165434,-0.34073904608362926,61895.5,0.0015210314248363316,0.34073904608362926
feature_127,1454,104,0.6511958046767538,0.610475,-0.040720804676753763,-0.33443800568764226,63400.5,0.005885085686092083,0.33443800568764226
feature_348,1439,104,0.024290687977762338,0.03044807692307692,0.006157388945314583,0.3330256333725385,88675.0,0.001602322652465056,0.3330256333725385
feature_452,1462,104,5.365711764705882,5.081178846153847,-0.2845329185520349,-0.33255276766379327,62500.5,0.002406464048066626,0.33255276766379327
feature_431,1462,103,21.191220656634748,38.92410291262136,17.73288225598661,0.31080050657230945,88629.0,0.0026276979648035765,0.31080050657230945
feature_298,1462,103,0.06205738714090288,0.08860291262135923,0.026545525480456356,0.30287935434829855,88670.0,0.002548766402706432,0.30287935434829855
feature_210,1439,104,0.08770653231410702,0.10490576923076925,0.017199236916662225,0.3023426552324871,85779.0,0.01257856295864627,0.3023426552324871
feature_163,1462,103,0.13695690834473323,0.18630097087378644,0.04934406252905321,0.30050273074952155,87861.0,0.004581631291229939,0.30050273074952155
feature_247,781,71,0.05174135723431498,0.07132816901408451,0.01958681177976953,0.2971495691927049,37410.5,1.0716525125366942e-06,0.2971495691927049
feature_295,1462,103,246.0590158002736,351.50814368932043,105.44912788904682,0.2970708127377603,87313.5,0.006698293961603759,0.2970708127377603
feature_123,1454,104,15.827565337001374,15.858942307692306,0.03137697069093193,0.29548897345822406,85086.5,0.03237084518709244,0.29548897345822406
feature_79,1439,104,0.002979082696316887,0.010089423076923076,0.007110340380606189,0.2951276319446781,87483.5,0.003927570393785748,0.2951276319446781
feature_160,1462,103,541.6046511627907,750.3980582524272,208.7934070896365,0.29493205715953136,87231.5,0.0070814150841923985,0.29493205715953136
feature_56,1460,103,0.928733698630137,0.9304883495145633,0.0017546508844262787,0.29487676244187466,87098.5,0.007146788258542595,0.29487676244187466
feature_133,1455,104,1003.9246225429551,1005.7005471153848,1.7759245724296306,0.2862845946925058,87598.5,0.007110330384087211,0.2862845946925058
feature_430,1462,103,17.368449863201093,33.37019805825242,16.001748195051327,0.2808080404540675,84381.0,0.04036764142639243,0.2808080404540675
feature_14,1460,104,9.056840547945205,8.282810576923076,-0.774029971022129,-0.2793851930567336,64921.5,0.013456156102097121,0.2793851930567336
feature_434,1462,103,13.719237346101233,29.136890291262137,15.417652945160905,0.27587831040748934,85618.0,0.019858493887407905,0.27587831040748934
feature_519,781,71,11.393324455825866,15.41470985915493,4.021385403329065,0.26698276804380056,37368.5,1.1928985833797455e-06,0.26698276804380056
feature_435,1462,103,8.376003761969905,23.48906893203884,15.113065170068936,0.26674811938255744,80518.5,0.23853334439922458,0.26674811938255744
feature_294,1462,103,391.4182911080711,549.3839077669903,157.9656166589192,0.2626165726470064,83909.0,0.05195664597511404,0.2626165726470064
feature_436,1462,103,6.5329430232558146,21.428146601941748,14.895203578685933,0.2612377763918683,74910.0,0.9312400822090607,0.2612377763918683
feature_575,1463,104,0.10568195488721806,0.09132596153846155,-0.014355993348756507,-0.25986063488631034,69578.5,0.1450824471601956,0.25986063488631034
feature_573,1463,104,0.3490719070403281,0.29730865384615385,-0.05176325319417424,-0.25852841593476256,68953.5,0.11020087170835373,0.25852841593476256
feature_159,1462,103,862.2756497948017,1172.3106796116506,310.0350298168489,0.2551402662270369,83755.0,0.05629363114255013,0.2551402662270369
feature_299,1462,103,0.0572109439124487,0.10364271844660194,0.046431774534153245,0.25309564131242573,82132.0,0.1229179362419002,0.25309564131242573
feature_164,1462,103,0.12227633378932969,0.20836893203883494,0.08609259824950526,0.252133534319231,80759.5,0.21754659752931327,0.252133534319231
feature_577,1463,104,16.80752918660287,14.318917307692308,-2.4886118789105627,-0.24569847886914248,69686.5,0.15188765729180378,0.24569847886914248
feature_64,1456,104,20.440290521978024,21.967568269230767,1.527277747252743,0.24269545863037806,81786.0,0.17116935142388323,0.24269545863037806
feature_300,1462,103,0.11345389876880985,0.1883961165048544,0.07494221773604456,0.2425450454692533,76388.0,0.8049866755542071,0.2425450454692533
feature_543,1461,104,0.008491854893908283,0.008175961538461538,-0.00031589335544674434,-0.2405252021732634,67682.0,0.04748173975469337,0.2405252021732634
feature_165,1462,103,0.2429199726402189,0.3812718446601943,0.13835187201997542,0.24013601508404708,76261.5,0.8271451327932071,0.24013601508404708
feature_280,1461,104,0.018120807665982203,0.016807692307692305,-0.0013131153582898979,-0.23886136595364665,68757.0,0.1051874135727399,0.23886136595364665
feature_460,1462,104,28.98199001367989,32.225772115384615,3.243782101704724,0.2372284182105276,87539.0,0.009763089188589695,0.2372284182105276
feature_95,1457,104,5.8339052848318466e-05,8.365384615384616e-05,2.5314793305527696e-05,0.23686588167917172,87218.5,0.005953039589264466,0.23686588167917172
feature_100,1457,104,-2.7453671928620443e-05,6.538461538461539e-05,9.283828731323583e-05,0.23628183222526222,84677.5,0.04339827597542954,0.23628183222526222
feature_58,1460,103,4.592049383561644,4.611205825242719,0.019156441681074554,0.23566363511360405,84854.0,0.02904985455029387,0.23566363511360405
feature_455,1462,104,3.6225541039671683,3.834556730769231,0.21200262680206272,0.23540305678438625,86913.0,0.014540695105237,0.23540305678438625
feature_90,1413,103,8833.289516985138,8748.61942038835,-84.67009659678843,-0.23494330380349548,63573.5,0.03204922295486527,0.23494330380349548
feature_183,1462,104,26.559824076607384,28.08586538461539,1.5260413080080042,0.23352799100056323,86817.5,0.015427338903069791,0.23352799100056323
feature_63,1456,104,13.875941071428569,15.585729807692307,1.7097887362637376,0.23173796780380593,83270.0,0.0886008506271989,0.23173796780380593
feature_22,1462,103,2705.15817373461,2617.339805825243,-87.81836790936723,-0.2311417777941843,69026.0,0.15747827432696127,0.2311417777941843
